page,html,width,height,elements_total,layers_html,layers_svg,unsupported
win00002_4c0a21ee9f1c,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00002_4c0a21ee9f1c.html,1280,67,13,13,0,
win00003_914fdd0dccf0,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00003_914fdd0dccf0.html,1280,84,24,17,7,
win00004_6a7600557c5a,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00004_6a7600557c5a.html,1280,873,32,17,15,
win00007_f7d4a364ff10,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00007_f7d4a364ff10.html,1280,873,381,161,220,
win00008_a0cf691217f4,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00008_a0cf691217f4.html,1280,873,1018,50,968,
win00009_b8fec43faf63,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00009_b8fec43faf63.html,1280,873,608,61,547,
win00010_d1e6f56ddcf0,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00010_d1e6f56ddcf0.html,1280,873,32,14,18,
win00011_f6dc0387e56e,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00011_f6dc0387e56e.html,1280,873,4,4,0,
win00012_a2f427b37403,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00012_a2f427b37403.html,1280,873,593,351,242,
win00013_b903d300cc0c,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00013_b903d300cc0c.html,1280,873,314,114,200,
win00014_609c748bcfce,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00014_609c748bcfce.html,1280,873,257,88,169,
win00015_1101abbf119f,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00015_1101abbf119f.html,1280,873,278,95,183,
win00017_389ddd307838,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00017_389ddd307838.html,1280,873,1423,72,1351,
win00025_0a57441e7248,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00025_0a57441e7248.html,1280,873,2609,106,2503,
win00026_e8f40cc12a2e,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00026_e8f40cc12a2e.html,1280,873,2619,108,2511,
win00027_b933de8b59be,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00027_b933de8b59be.html,1280,873,1050,57,993,
win00028_021cf73fe9e0,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00028_021cf73fe9e0.html,1280,873,1223,67,1156,
win00029_1e86f5cc1aa3,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00029_1e86f5cc1aa3.html,1280,873,1226,70,1156,
win00030_72b2dd02ed12,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00030_72b2dd02ed12.html,1280,873,322,22,300,
win00031_a24d8118c945,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00031_a24d8118c945.html,1280,873,1252,78,1174,
win00032_49f9d9787c3a,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00032_49f9d9787c3a.html,1280,873,1249,75,1174,
win00033_1d4ff70be690,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00033_1d4ff70be690.html,1280,873,1262,26,1236,
win00034_90d28d853db1,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00034_90d28d853db1.html,425,246,91,23,68,
win00047_ccc9f7567368,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00047_ccc9f7567368.html,1280,873,259,21,238,
win00048_b669c0850b54,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00048_b669c0850b54.html,431,420,52,34,18,
win00054_29d1edf7c183,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00054_29d1edf7c183.html,269,206,32,11,21,
win00059_76fdda444059,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00059_76fdda444059.html,1280,873,1641,54,1587,
win00065_4f45b459570d,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00065_4f45b459570d.html,168,153,17,5,12,
win00068_811a2bc70605,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00068_811a2bc70605.html,375,139,4,3,1,
win00069_587845727aed,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00069_587845727aed.html,529,560,379,23,356,
win00070_a530de98fc53,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00070_a530de98fc53.html,1280,873,494,198,296,
win00072_073601f27eb5,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00072_073601f27eb5.html,220,334,11,11,0,
win00073_004b6f43fe72,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00073_004b6f43fe72.html,219,334,8,8,0,
win00074_06c6f1a7dccb,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00074_06c6f1a7dccb.html,1234,803,134,6,128,
win00075_0e20680843bd,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00075_0e20680843bd.html,219,334,10,10,0,
win00076_edb702d60a5e,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00076_edb702d60a5e.html,1280,873,237,76,161,
win00077_f0ef763a9188,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00077_f0ef763a9188.html,1280,873,217,64,153,
win00078_6ac912340c7f,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00078_6ac912340c7f.html,1280,873,227,70,157,
win00079_5f0613c6373b,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00079_5f0613c6373b.html,1280,873,197,52,145,
win00082_f4b28145c6c0,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00082_f4b28145c6c0.html,269,206,22,7,15,
win00083_d3a86ac96935,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00083_d3a86ac96935.html,197,319,85,68,17,
win00084_f4cd6695e408,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00084_f4cd6695e408.html,238,142,3,3,0,
win00085_b7997ffa1f4d,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00085_b7997ffa1f4d.html,236,149,3,3,0,
win00086_735084f96a32,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00086_735084f96a32.html,775,234,20,3,17,
win00087_b0c7a0203490,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00087_b0c7a0203490.html,1280,873,320,127,193,
win00088_6b9816834369,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00088_6b9816834369.html,1280,873,217,64,153,
win00089_f50c19a1085c,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00089_f50c19a1085c.html,1280,873,237,76,161,
win00090_5406fa9937a7,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00090_5406fa9937a7.html,1280,1100,660,377,283,
win00092_a18c263a4e67,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00092_a18c263a4e67.html,234,274,22,9,13,
win00093_d3c40dacae1e,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00093_d3c40dacae1e.html,1280,873,407,237,170,
win00094_bd932cf47efa,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00094_bd932cf47efa.html,1280,873,351,199,152,
win00095_4a75d66894d4,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00095_4a75d66894d4.html,375,139,4,3,1,
win00096_e32a75a759df,F:\MetroSearch\$MetroBoeuf_2018_06_19_EXTRACT\html_pages\win00096_e32a75a759df.html,1280,873,56,25,31,
